,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
0,2019-12-16 12:40:56,377113842678100,"fraud_O'Connell, Botsford and Hand",home,32.65,Billy,Gallagher,M,673 Delgado Burg,Greenwich,NJ,8323,39.4055,-75.3209,804,Insurance risk surveyor,1965-03-25,ecf3cff893d47eeec287958f2dcbe9f8,1355661656,38.988831,-75.44242,0
1,2019-11-10 21:29:24,502038091380,"fraud_Haley, Jewess and Bechtelar",shopping_pos,819.52,Kurt,Peters,M,7290 Ashlee Keys,Kissee Mills,MO,65680,36.6704,-93.0377,1201,"Engineer, agricultural",1980-03-18,46f3f81e3f27d015db2d80f16a663b3d,1352582964,37.502359000000006,-92.941619,1
2,2019-12-31 22:11:08,30181367542315,"fraud_Tillman, Fritsch and Schmitt",misc_net,808.97,Danielle,Walker,F,9824 Mitchell Run,Powell Butte,OR,97753,44.2415,-121.0113,2016,Local government officer,1953-12-25,cf6151929f0b38c9db2181b27423cd34,1356991868,44.93175,-121.287451,1
3,2020-04-09 17:23:25,376445266762684,"fraud_Mueller, Gerhold and Mueller",health_fitness,64.85,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,5124d4971ec41f68634646067f63cd16,1365528205,41.084349,-100.922198,0
4,2019-12-22 15:03:23,3500969075198072,fraud_Frami Group,entertainment,63.2,Kenneth,Sanchez,M,0110 Ashley Forest,Tekoa,WA,99033,47.2271,-117.0819,895,Clothing/textile technologist,1999-05-31,c8b812894d9b9ca7feeff9c83facaec1,1356188603,46.411414,-116.657814,0
5,2020-02-21 04:57:23,676372984911,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,110.59,Vicki,Mendoza,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,1987-07-18,3b1b8781a36eaa6ae7df3b0840369355,1361422643,40.250126,-98.304429,0
6,2019-12-15 10:18:21,4319584480204988982,fraud_Flatley-Durgan,misc_net,3.83,Kathleen,Nash,F,010 Salazar Walk,Cromona,KY,41810,37.1788,-82.695,502,Chief Financial Officer,1960-02-01,6f72bf866795d59f6d9945d40e1d3b36,1355566701,37.794048,-82.557027,0
7,2019-08-12 02:52:18,4294040533480516,fraud_Nader-Heller,misc_net,666.73,Gail,Weaver,F,979 Stewart Lake,New Ellenton,SC,29809,33.413000000000004,-81.69,2206,Biomedical scientist,1986-12-31,fa8c59a7e7b6748f8ce4f9378c5b7072,1344739938,33.170856,-80.819823,1
8,2019-06-07 22:05:01,2703186189652095,fraud_Breitenberg LLC,travel,9.91,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",1988-03-09,3361622d818c4d6b68556e18ed3fc3ad,1339106701,36.423018,-81.393957,0
9,2020-06-01 12:01:45,30230540139182,fraud_Eichmann-Kilback,home,60.62,Hayden,Sanders,M,8465 Reed Green Suite 559,Montandon,PA,17850,40.9661,-76.8575,645,Orthoptist,1974-05-18,e0b34bcb2d1f90c9aa20c8680512af16,1370088105,40.578915,-76.295059,0
